>752:652,,,
d549,00,bool,00,CFG_EN2_BSI_UCECAN_BSG_S_000: signaling switching unit
d54a,00,bool,00,CFG_EY_BSI_UCECAN_BVN_000: night vision computer
d54b,No Response,string,---,CFG_EWA_BSI_UCECAN_CGPL_000: ???
d54c,00,bool,00,CFG_EWG_BSI_UCECAN_PFHM_FL_000: ???
d54d,00,bool,00,CFG_EWH_BSI_UCECAN_PFHM_FR_000: ???
d54e,00,bool,00,CFG_EWI_BSI_UCECAN_PFHM_RL_000: ???
d54f,00,bool,00,CFG_EWK_BSI_UCECAN_PFHM_RR_000: ???
d550,00,bool,00,CFG_EWL_BSI_UCECAN_SDCM_000: @p53052-poluxData @\*(SDCM)
d551,00,bool,00,CFG_EWM_BSI_UCECAN_WLC_000: ???
d552,No Response,string,---,CFG_EWX_BSI_UCECAN_EBB_000: Master cylinder with electric brake booster
d553,00,bool,00,CFG_EWY_BSI_UCECAN_AVAS_000: pedestrian warning signal
d554,00,bool,00,CFG_EWZ_BSI_UCECAN_VCU_000: electronic control computer automatic gearbox
d555,00,bool,00,CFG_EX0_BSI_UCECAN_LVNSD_000: ???
d556,No Response,string,---,CFG_FGJ_BSI_UCECAN_SWITCH_A_000: @P53414-POLUXDATA @\*2
d557,No Response,string,---,CFG_G85_BSI_UCECAN_AUTO_GEAR_BOX_000: @P53414-POLUXDATA @\*1
d558,No Response,string,---,CFG_GDJ_BSI_UCECAN_BSRF_000: radio frequency control unit
d559,No Response,string,---,CFG_GDK_BSI_UCECAN_PVS_000: digital panoramic review system
d5a0,00,bool,00,CFG_BSG_BSI_UCELIN_UDDGO_000: multiplex fuel additive pump (diesel)
d5a1,00,bool,00,CFG_BSH_BSI_UCELIN_UDS_BPL_000: Ambient interior lighting box ???
d5a2,01,bool,01,CFG_BSI_BSI_UCELIN_UDS_TNB_BMF_000: Seat belt warning light
d5a3,01,bool,01,CFG_BSJ_BSI_UCELIN_UDS_SOC_BECB_000: battery charge unit
d5a4,01,bool,01,CFG_BSK_BSI_UCELIN_UDS_CDPL_000: rain / light sensor
d5a5,00,bool,00,CFG_BSL_BSI_UCELIN_UDS_ESV_000: front wiper with the LIN network
d5a6,00,bool,00,CFG_BSM_BSI_UCELIN_UDS_BPGA_000: Power Protection and Arrangement Unit (BPGA)
d5a7,00,bool,00,CFG_BSN_BSI_UCELIN_UDS_TDCAR_000: air conditioner control panel
d5a8,00,bool,00,CFG_BSO_BSI_UCELIN_UDS_DESIGNTLM_000: configured key
d5a9,01,bool,01,CFG_BSP_BSI_UCELIN_UDS_VCI_000: steering wheel with built-in governing bodies
d5aa,00,bool,00,CFG_BTH_BSI_UCELIN_UDS_HORLOGE_000: clock
d5ab,01,bool,01,CFG_D2K_BSI_UCELIN_UDS_MEAP_000: controlled air supply module
d5ac,00,bool,00,CFG_D3B_BSI_UCELIN_UDS_MUS_001: ultrasonic module
d5ad,00,bool,00,CFG_D3A_BSI_UCELIN_UDS_SIR_000: siren
d5ae,00,bool,00,CFG_DGB_BSI_UCELIN_UDS_CPR_ELEC_000: panoramic visual control unit (360 ° camera)
d5af,00,bool,00,CFG_DGC_BSI_UCELIN_UDS_CTP_AIR_000: controlled air supply module
d5b0,00,bool,00,CFG_DGD_BSI_UCELIN_UDS_DGT_000: ???
d5b1,00,bool,00,CFG_DGE_BSI_UCELIN_UDS_FMUXAUDIO_000: ???
d5b2,00,bool,00,CFG_DGF_BSI_UCELIN_UDS_BPCA_000: ???
d5b3,00,bool,00,CFG_EBT_BSI_UCELIN_BAAS_R_000: access computer without the help of hands on the right side
d5b4,00,bool,00,CFG_EBV_BSI_UCELIN_BAAS_L_000: access computer without the help of hands on the left side
d5b5,00,bool,00,CFG_EBW_BSI_UCELIN_BAAS_T_000: access computer without help from behind
d5b6,00,bool,00,CFG_EBX_BSI_UCELIN_SPB_D_000: LIN SEAT PNEUMATIC BOX Driver ???
d5b7,00,bool,00,CFG_EBY_BSI_UCELIN_SCB_D_000: driver's comfort computer
d5b8,00,bool,00,CFG_EBZ_BSI_UCELIN_BRNCV_D_000: computer adjustment and ventilation of the front left seat
d5b9,00,bool,00,CFG_EC0_BSI_UCELIN_SPB_P_000: LIN SEAT PNEUMATIC BOX Passenger ???
d5ba,00,bool,00,CFG_EC1_BSI_UCELIN_SCB_P_000: computer comfort computer
d5bb,00,bool,00,CFG_EBU_BSI_UCELIN_BRNCV_P_000: computer adjustment and ventilation of the front right seat
d5bc,00,bool,00,CFG_e_BSI_UCELIN_BRNC_ARG_000: computer adjustment and ventilation of the rear left seat
d5bd,00,bool,00,Cfg_elb_bsi_ucelin_brnc_ard_000: computer adjustment and ventilation of the rear right seat
d5be,00,bool,00,CFG_EN4_BSI_UCELIN_VAB_000: LIN Boitier Adaptation Video (Video Adaptor Box)
d5bf,00,bool,00,CFG_LC_BSI_UCELIN_ARS_FEU_COND_000: UCE LIN Boitier Système Adaptatif d'éclaireage Arrière Feu Conducteur ???
d5c0,00,bool,00,CFG_ELD_BSI_UCELIN_ARS_FEU_PAS_000: UCE LIN Boitier Système Adaptatif d'éclairge Arrière Feu Passager ???
d5c1,00,bool,00,CFG_ELE_BSI_UCELIN_ARS_FEU_C_C_000: UCE LIN Boitier Système Adaptatif d'éclaire Arrière Feu Complementaire Conduracteur ???
d5c2,00,bool,00,CFG_ELF_BSI_UCELIN_ARS_FEU_C_P_000: UCE LIN Boitier Système Adaptatif d'éclaire Arrière Feu Complementaire Passager ???
d5c3,00,bool,00,Cfg_elg_bsi_ucelin_to_000: @p35350-poluxdata @\*lin ???
d5c4,00,bool,00,CFG_elr_BSI_UCELIN_PLB_000: UCE LIN CALCULETER MAITRA ECLAIRAGE Polychromatique ???
d5c5,00,bool,00,CFG_EZ_BSI_UCELIN_CCE_000: air conditioning compressor
d5c7,00,bool,00,CFG_EY0_BSI_UCELIN_OCS_000: ???
d5c8,00,bool,00,CFG_EYG_BSI_UCELIN_CTPE_000: coolant electric heater
d600,No Response,string,---,CFG_BH0_BSI_NS_PRESENCE_CDC_000: presence of CD changer
d601,No Response,string,---,CFG_BGY_BSI_NS_DIAG_STA_RADIO_000: P19132-POLUXDATA@\*RD5 ???
d602,01,bool,01,CFG_B0B_BSI_RABAT_RETRO_TELECOM_000: Folding the rear-view mirrors using a high-frequency remote control
d603,No Response,string,---,CFG_BK2_BSI_ns_PRESECEKMLUSBOX_000: @p4042-PoluxData @\*1 ???
